country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624548,,0,6,1.15296E+19,
,,12624548,,0,8,1.35917E+19,
,,12624549,,0,12,6.10893E+18,
,,12624549,,0,10,4.86798E+17,
,,12624548,,0,18,1.79038E+19,
,,12624549,,0,12,1.14405E+19,
,,12624549,,0,18,1.09063E+19,
,,12624548,,0,14,5.49424E+18,
,,12624549,,0,20,1.54666E+18,
,,12624548,,0,9,1.81311E+19,
,,12624549,,0,12,4.51648E+18,
,,12624548,,0,14,1.37227E+19,
,,12624548,,0,16,9.73104E+18,
,,12624548,,0,18,5.1438E+18,
,,12624548,,0,10,1.04315E+19,
,,12624548,,0,15,7.66431E+18,
,,12624548,,0,5,1.00605E+19,
,,12624548,,0,18,8.88656E+18,
,,12624549,,0,8,6.84082E+18,
,,12624548,,0,4,1.00409E+19,
,,12624549,,0,20,7.4962E+18,
,,12624549,,0,4,6.34059E+18,
US,4/3/17,12624548,3.40965E+18,14.99,8,9.40935E+18,GAMES
US,4/3/17,12624548,5.26487E+18,14.99,8,9.40935E+18,GAMES
US,4/5/17,12624548,5.50239E+18,14.99,8,9.40935E+18,GAMES
,,12624549,,0,3,7.00349E+18,
US,4/6/17,12624548,4.14628E+18,1.99,20,8.3942E+18,GAMES
US,4/6/17,12624548,1.15119E+19,1.99,20,8.3942E+18,GAMES
,,12624548,,0,10,6.72859E+18,
,,12624549,,0,18,6.4089E+18,
,,12624548,,0,16,9.59422E+18,
,,12624549,,0,17,3.9818E+18,
GB,4/5/17,12624549,1.79567E+19,0.773608,9,4.30009E+18,GAMES
,,12624548,,0,10,1.82082E+18,
,,12624549,,0,2,1.32073E+19,
,,12624548,,0,5,1.30504E+19,
,,12624549,,0,9,1.93739E+18,
,,12624548,,0,5,1.66791E+19,
,,12624549,,0,8,1.77296E+19,
,,12624548,,0,8,2.81016E+17,
,,12624549,,0,10,1.55762E+19,
,,12624548,,0,4,8.21355E+18,
,,12624549,,0,9,7.44004E+17,
,,12624548,,0,17,8.98533E+18,
,,12624549,,0,11,1.757E+19,
ID,4/2/17,12624549,2.87028E+18,1.022607,1,1.04506E+17,GAMES
,,12624549,,0,7,1.4769E+19,
ES,4/2/17,12624549,1.92296E+17,1.270033,13,4.79024E+18,GAMES
,,12624549,,0,15,1.5745E+19,
,,12624548,,0,1,1.35927E+19,
,,12624549,,0,14,3.89483E+18,
,,12624548,,0,19,2.49094E+18,
FR,4/5/17,12624549,6.47941E+18,41.597791,3,5.48271E+18,GAMES
FR,4/3/17,12624549,3.65979E+18,10.65427,3,5.48271E+18,GAMES
JP,4/3/17,12624548,1.50668E+19,2.160492,11,1.39867E+19,GAMES
AT,4/1/17,12624549,6.84904E+18,9.594622,9,1.46256E+19,GAMES
AT,4/1/17,12624549,7.42709E+18,9.594622,9,1.46256E+19,GAMES
